T_K,P_MPa,T1_s
273,250,0.00412
273,300,0.00392
273,350,0.00401
273,400,0.00403
268,250,0.00363
268,300,0.00355
268,350,0.00352
268,400,0.00349
263,250,0.00302
263,300,0.00294
263,350,0.00297
263,400,0.00294
258,250,0.00245
258,300,0.00241
258,350,0.00241
258,400,0.00242
253,250,0.00215
253,300,0.00213
253,350,0.0021
253,400,0.0021
248,250,0.00159
248,300,0.00157
248,350,0.00155
248,400,0.00154
243,250,0.00129
243,300,0.00127
243,350,0.00124
243,400,0.00120
238,250,0.00095
238,300,0.00096
238,350,0.00093
238,400,0.00093
233,250,0.00072
233,300,0.00074
233,350,0.00070
229,250,0.00059
229,300,0.00057
229,350,0.00058
229,400,0.00055
222,250,0.00041
222,300,0.00039
