T_K,P_MPa,eta_mPas,deta_mPas
239.15,0.1,14.22,0.4137
240.15,0.1,12.68,0.3601
241.15,0.1,11.39,0.3168
242.15,0.1,10.29,0.2811
243.15,0.1,9.354,0.2515
244.15,0.1,8.545,0.2267
245.15,0.1,7.842,0.2055
246.15,0.1,7.226,0.1874
247.15,0.1,6.684,0.1717
248.15,0.1,6.203,0.1580
249.15,0.1,5.775,0.1460
250.15,0.1,5.392,0.1354
251.15,0.1,5.048,0.1260
252.15,0.1,4.738,0.1176
253.15,0.1,4.456,0.1101
254.15,0.1,4.201,0.1033
255.15,0.1,3.967,0.09717
256.15,0.1,3.754,0.09161
257.15,0.1,3.558,0.08653
258.15,0.1,3.379,0.08192
259.15,0.1,3.213,0.07767
260.15,0.1,3.059,0.07375
261.15,0.1,2.917,0.07016
262.15,0.1,2.785,0.06683
263.15,0.1,2.663,0.06377
264.15,0.1,2.548,0.06090
265.15,0.1,2.442,0.05826
266.15,0.1,2.342,0.05578
267.15,0.1,2.248,0.05346
268.15,0.1,2.161,0.05131
269.15,0.1,2.078,0.04927
270.15,0.1,2.001,0.04739
271.15,0.1,1.928,0.04560
272.15,0.1,1.859,0.04392
273.15,0.1,1.794,0.04234
274.15,0.1,1.732,0.04083
275.15,0.1,1.674,0.03943
276.15,0.1,1.619,0.03810
277.15,0.1,1.567,0.03684
278.15,0.1,1.517,0.03564
279.15,0.1,1.470,0.03451
280.15,0.1,1.425,0.03343
281.15,0.1,1.382,0.03240
282.15,0.1,1.341,0.03142
283.15,0.1,1.302,0.03048
284.15,0.1,1.265,0.02960
285.15,0.1,1.229,0.02874
286.15,0.1,1.195,0.02793
287.15,0.1,1.163,0.02717
288.15,0.1,1.132,0.02643
289.15,0.1,1.102,0.02572
290.15,0.1,1.073,0.02503
291.15,0.1,1.046,0.02439
292.15,0.1,1.020,0.02378
293.15,0.1,0.994,0.02316
