T_K,P_MPa,D_m2s
251.65,209.5,0.564e-09
253.23,201.5,0.603e-09
253.15,225.5,0.596e-09
253.26,253.5,0.592e-09
258.16,156.0,0.738e-09
258.16,200.5,0.733e-09
258.16,251.0,0.718e-09
258.16,300.5,0.696e-09
258.16,350.5,0.671e-09
263.16,102.5,0.873e-09
263.18,150.5,0.887e-09
263.15,200.5,0.872e-09
263.16,200.5,0.872e-09
263.25,250.5,0.866e-09
263.21,300.5,0.836e-09
263.25,350.5,0.815e-09
268.15,50.5,1.006e-09
268.16,151.0,1.050e-09
268.17,200.5,1.033e-09
268.16,250.5,1.016e-09
268.15,300.5,0.992e-09
268.19,350.5,0.965e-09
273.21,0.1,1.13e-09
273.17,0.1,1.13e-09
273.23,25.5,1.17e-09
273.25,50.5,1.20e-09
273.10,100.5,1.21e-09
273.09,150.5,1.22e-09
273.10,200.5,1.21e-09
273.09,250.5,1.19e-09
273.11,300.5,1.15e-09
273.10,350.5,1.13e-09
278.15,50.0,1.37e-09
278.20,100.0,1.39e-09
278.18,199.5,1.38e-09
278.18,300.5,1.33e-09
278.15,350.0,1.29e-09
298.19,52.5,2.34e-09
298.20,100.5,2.35e-09
298.15,150.5,2.31e-09
298.20,200.5,2.29e-09
298.22,251.5,2.22e-09
298.19,300.0,2.18e-09
298.15,350.5,2.12e-09
