T_K,P_MPa,T1_s
457,5,0.059
457,50,0.059
457,100,0.0593
457,150,0.0607
457,200,0.0595
457,250,0.059
423,5,0.0449
423,50,0.0445
423,100,0.0441
423,150,0.0445
423,200,0.0447
423,250,0.0447
403,5,0.036
403,50,0.036
403,100,0.0359
403,150,0.0374
403,200,0.0359
403,250,0.0374
383,5,0.0303
383,50,0.0314
383,100,0.0306
383,150,0.0312
383,200,0.02970
383,250,0.0316
353,5,0.0212
353,50,0.0212
353,100,0.0216
353,150,0.0219
353,200,0.0216
353,250,0.0225
323,5,0.0123
323,50,0.0132
323,100,0.0137
323,150,0.0139
323,200,0.0138
323,250,0.0142
309,5,0.00929
309,50,0.00965
309,100,0.0106
309,150,0.0102
309,200,0.0102
309,250,0.0104
299,5,0.00738
299,50,0.00816
299,100,0.00859
299,150,0.00849
299,200,0.00862
299,250,0.00849
283,5,0.00484
283,50,0.00484
283,100,0.00546
283,150,0.00562
283,200,0.00572
283,250,0.00608
273,5,0.00352
273,50,0.00395
273,100,0.00409
273,150,0.00433
273,200,0.00443
273,250,0.00422
268,5,0.00251
268,50,0.00289
268,100,0.00333
268,150,0.00339
268,200,0.00383
268,250,0.00374
263,5,0.00208
263,50,0.00250
263,100,0.00283
263,150,0.00293
263,200,0.00348
263,250,0.00316
258,5,0.00167
258,50,0.00210
258,100,0.00229
258,150,0.00239
258,200,0.00275
258,250,0.00262
253,5,0.00127
253,50,0.00154
253,100,0.00182
253,150,0.00199
253,200,0.00211
253,250,0.00218
248,5,0.00088
248,50,0.00112
248,100,0.00140
248,150,0.00159
248,200,0.00171
248,250,0.00173
243,5,0.00060
243,50,0.00086
243,100,0.00117
243,150,0.00126
243,200,0.00135
243,250,0.00141
238,5,0.00042
238,50,0.00066
238,100,0.00080
238,150,0.00087
238,200,0.00100
238,250,0.00099
