T_K,P_MPa,D_m2s
273.0,0.1,1.090e-9
273.0,50.0,1.160e-9
273.0,100.0,1.170e-9
273.0,150.0,1.180e-9
273.0,200.0,1.180e-9
273.0,250.0,1.160e-9
273.0,300.0,1.090e-9
273.0,350.0,1.070e-9
273.0,400.0,1.020e-9
268.0,0.1,9.000e-10
268.0,50.0,9.730e-10
268.0,100.0,1.000e-9
268.0,150.0,1.020e-9
268.0,200.0,9.900e-10
268.0,250.0,9.800e-10
268.0,300.0,9.650e-10
268.0,350.0,9.270e-10
268.0,400.0,8.880e-10
263.0,0.1,7.420e-10
263.0,50.0,8.080e-10
263.0,100.0,8.550e-10
263.0,150.0,8.510e-10
263.0,200.0,8.470e-10
263.0,250.0,8.150e-10
263.0,300.0,7.780e-10
263.0,350.0,7.520e-10
263.0,400.0,7.330e-10
258.0,0.1,5.750e-10
258.0,50.0,6.550e-10
258.0,100.0,6.940e-10
258.0,150.0,7.020e-10
258.0,200.0,6.970e-10
258.0,250.0,6.770e-10
258.0,300.0,6.670e-10
258.0,350.0,6.590e-10
258.0,400.0,6.380e-10
255.0,0.1,4.940e-10
255.0,50.0,5.710e-10
255.0,100.0,6.150e-10
255.0,150.0,6.300e-10
255.0,200.0,6.220e-10
255.0,250.0,6.100e-10
255.0,300.0,5.820e-10
255.0,350.0,5.630e-10
255.0,400.0,5.380e-10
252.0,0.1,4.290e-10
252.0,50.0,5.040e-10
252.0,100.0,5.420e-10
252.0,150.0,5.550e-10
252.0,200.0,5.510e-10
252.0,250.0,5.380e-10
252.0,300.0,5.250e-10
252.0,350.0,5.020e-10
252.0,400.0,4.760e-10
248.0,50.0,4.150e-10
248.0,100.0,4.510e-10
248.0,150.0,4.650e-10
248.0,200.0,4.720e-10
248.0,250.0,4.580e-10
248.0,300.0,4.390e-10
248.0,350.0,4.180e-10
248.0,400.0,4.050e-10
243.0,50.0,3.110e-10
243.0,100.0,3.560e-10
243.0,150.0,3.700e-10
243.0,200.0,3.700e-10
243.0,250.0,3.600e-10
243.0,300.0,3.470e-10
243.0,350.0,3.270e-10
243.0,400.0,3.080e-10
238.0,100.0,2.700e-10
238.0,150.0,2.900e-10
238.0,200.0,2.900e-10
238.0,250.0,2.800e-10
238.0,300.0,2.660e-10
238.0,350.0,2.480e-10
238.0,400.0,2.340e-10
233.0,150.0,2.180e-10
233.0,200.0,2.260e-10
233.0,250.0,2.180e-10
233.0,300.0,2.020e-10
233.0,350.0,1.870e-10
233.0,400.0,1.720e-10
228.0,150.0,1.610e-10
228.0,200.0,1.580e-10
228.0,250.0,1.520e-10
228.0,300.0,1.420e-10
228.0,350.0,1.340e-10
228.0,400.0,1.210e-10
223.0,200.0,1.080e-10
223.0,250.0,1.050e-10
223.0,300.0,9.800e-11
223.0,350.0,9.000e-11
223.0,400.0,7.850e-11
218.0,200.0,7.620e-11
218.0,250.0,7.100e-11
218.0,300.0,6.700e-11
218.0,350.0,6.070e-11
218.0,400.0,5.190e-11
212.0,250.0,4.120e-11
212.0,300.0,3.800e-11
212.0,350.0,3.350e-11
212.0,400.0,2.870e-11
208.5,250.0,2.760e-11
208.5,300.0,2.360e-11
208.5,350.0,1.970e-11
208.5,400.0,1.580e-11
203.5,300.0,1.180e-11
203.5,350.0,9.900e-12
203.5,400.0,7.500e-12
