run,T_K,P_MPa,eta_mPas,deta_mPas
1,297.8,18.8,0.895,0.017
1,292.8,19.2,1.004,0.018
1,287.8,19.5,1.137,0.021
1,282.8,19.8,1.318,0.023
1,277.8,20.1,1.505,0.025
1,272.8,20.2,1.760,0.025
1,267.8,20.5,2.067,0.030
1,262.8,20.5,2.489,0.033
1,257.8,20.5,3.068,0.043
1,252.8,20.5,3.854,0.053
2,297.8,20.0,0.889,0.014
2,292.8,20.1,0.996,0.014
2,287.8,20.0,1.131,0.015
2,282.8,20.1,1.306,0.017
2,277.8,20.0,1.517,0.019
2,272.8,20.1,1.786,0.022
2,267.8,20.1,2.113,0.025
2,262.8,20.0,2.522,0.030
2,257.8,20.0,3.131,0.036
2,252.8,20.1,3.981,0.046
3,297.8,32.5,0.893,0.012
3,292.8,32.9,0.998,0.013
3,287.8,32.6,1.135,0.014
3,282.8,32.6,1.295,0.016
3,277.8,32.5,1.497,0.019
3,272.8,32.5,1.750,0.021
3,267.8,32.6,2.075,0.024
3,262.8,32.6,2.570,0.029
3,257.8,32.6,3.033,0.034
3,252.8,32.6,3.897,0.043
4,297.8,32.5,0.892,0.018
4,292.8,32.9,0.997,0.017
4,287.8,32.6,1.130,0.019
4,282.8,32.6,1.297,0.021
4,277.8,32.6,1.501,0.024
4,272.8,32.6,1.752,0.027
4,267.8,32.5,2.030,0.033
4,262.8,32.6,2.440,0.039
4,257.8,32.6,2.989,0.049
4,252.8,32.5,3.788,0.067
5,297.8,50.1,0.889,0.018
5,292.8,50.1,0.999,0.019
5,287.8,50.0,1.129,0.021
5,282.8,50.1,1.284,0.023
5,277.8,50.0,1.482,0.026
5,272.8,50.0,1.725,0.030
5,267.8,50.1,2.039,0.035
5,262.8,50.1,2.415,0.041
5,257.8,50.0,2.951,0.051
5,252.8,50.0,3.705,0.066
6,297.8,80.0,0.895,0.035
6,292.8,80.0,1.027,0.037
6,287.8,80.0,1.125,0.038
6,282.8,80.0,1.270,0.039
6,277.8,80.0,1.462,0.041
6,272.8,80.0,1.704,0.044
6,267.8,80.1,1.949,0.046
6,262.8,80.1,2.387,0.052
6,257.8,80.1,2.801,0.057
6,252.8,80.1,3.493,0.067
7,297.8,80.0,0.893,0.021
7,292.8,80.1,1.000,0.023
7,287.8,80.1,1.124,0.025
7,282.8,80.1,1.269,0.027
7,277.8,80.1,1.475,0.031
7,272.8,80.1,1.692,0.035
7,267.8,80.0,1.975,0.039
7,262.8,80.1,2.348,0.046
7,257.8,80.1,2.825,0.053
7,252.8,80.2,3.508,0.065
8,297.8,100.0,0.894,0.026
8,292.8,100.0,0.976,0.027
8,287.8,100.0,1.145,0.030
8,282.8,100.1,1.276,0.032
8,277.8,100.1,1.439,0.035
8,272.8,100.1,1.706,0.040
8,267.8,100.0,1.949,0.044
8,262.8,100.0,2.330,0.051
8,257.8,100.1,2.794,0.060
8,252.8,100.1,3.500,0.074
8,247.8,100.0,4.356,0.091
9,297.8,125.0,0.895,0.027
9,292.8,125.0,0.985,0.029
9,287.8,125.0,1.151,0.031
9,282.8,125.0,1.273,0.034
9,277.8,125.0,1.459,0.037
9,272.8,125.1,1.666,0.041
9,267.8,125.1,1.965,0.046
9,262.8,125.1,2.275,0.052
9,257.8,125.0,2.741,0.061
9,252.8,125.1,3.375,0.074
9,247.8,125.0,4.126,0.087
9,245.3,125.1,4.567,0.096
10,297.8,125.0,0.902,0.024
10,292.8,125.0,1.001,0.023
10,287.8,125.0,1.124,0.025
10,282.8,125.0,1.282,0.027
10,277.8,124.9,1.463,0.031
10,272.8,124.9,1.653,0.034
10,267.8,124.9,1.941,0.039
10,262.8,124.9,2.303,0.045
10,257.8,124.9,2.752,0.054
10,252.8,124.8,3.399,0.066
10,247.8,124.8,4.158,0.078
10,245.3,124.9,4.614,0.086
11,297.8,160.0,0.892,0.026
11,292.8,160.0,0.997,0.028
11,287.8,160.0,1.138,0.030
11,282.8,160.0,1.290,0.033
11,277.8,160.0,1.469,0.036
11,272.8,160.0,1.683,0.041
11,267.8,160.0,1.959,0.046
11,262.8,160.0,2.284,0.052
11,257.8,159.9,2.719,0.061
11,252.8,159.9,3.252,0.071
11,247.8,159.9,4.027,0.087
11,245.3,160.0,4.405,0.095
12,297.8,200.0,0.932,0.025
12,292.8,200.0,1.040,0.027
12,287.8,200.1,1.201,0.031
12,282.8,200.0,1.316,0.034
12,277.8,200.0,1.434,0.038
12,262.8,200.1,2.263,0.059
12,257.8,200.1,2.698,0.069
12,252.8,200.0,3.224,0.080
12,247.8,200.1,3.947,0.093
12,245.3,200.0,4.323,0.099
12,244.3,200.0,4.697,0.106
13,297.8,200.0,0.902,0.046
13,292.8,200.0,1.007,0.048
13,287.8,200.0,1.135,0.049
13,282.8,200.0,1.289,0.051
13,277.8,200.0,1.452,0.053
13,272.8,200.1,1.693,0.057
13,267.8,200.0,1.985,0.061
13,262.8,200.1,2.302,0.066
13,257.8,200.0,2.775,0.075
13,252.8,200.1,3.324,0.085
13,247.8,200.0,4.102,0.100
13,244.3,200.1,4.908,0.117
14,297.8,250.0,0.964,0.030
14,292.8,250.0,1.024,0.031
14,287.8,250.0,1.162,0.034
14,282.8,250.0,1.336,0.037
14,277.8,250.0,1.498,0.040
14,272.8,250.0,1.716,0.044
14,267.8,250.1,2.028,0.055
14,262.8,250.1,2.331,0.055
14,257.8,250.0,2.835,0.065
14,252.8,250.0,3.433,0.076
14,247.8,250.1,4.110,0.088
14,245.3,250.1,4.709,0.108
14,244.3,250.1,4.900,0.111
15,297.8,297.5,0.970,0.037
15,292.8,297.6,1.053,0.034
15,287.8,297.6,1.281,0.034
15,282.8,297.6,1.347,0.034
15,277.8,297.5,1.536,0.038
15,272.8,297.5,1.767,0.042
15,267.8,297.5,2.101,0.049
15,262.8,297.5,2.351,0.058
15,257.8,297.5,2.879,0.073
15,252.8,297.5,3.559,0.077
15,247.8,297.5,4.268,0.096
15,244.3,297.5,4.882,0.115
